,id,title,popularity,release_date
0,278,The Shawshank Redemption,177.353,1994-09-23
1,238,The Godfather,163.432,1972-03-14
2,240,The Godfather Part II,76.683,1974-12-20
3,424,Schindler's List,97.261,1993-12-15
4,389,12 Angry Men,58.325,1957-04-10
5,129,Spirited Away,93.203,2001-07-20
6,19404,Dilwale Dulhania Le Jayenge,34.64,1995-10-20
7,155,The Dark Knight,143.461,2008-07-16
8,497,The Green Mile,92.466,1999-12-10
9,496243,Parasite,100.513,2019-05-30
10,680,Pulp Fiction,114.886,1994-09-10
11,372058,Your Name.,75.365,2016-08-26
12,122,The Lord of the Rings: The Return of the King,150.802,2003-12-17
13,13,Forrest Gump,104.023,1994-06-23
14,429,"The Good, the Bad and the Ugly",82.782,1966-12-22
15,346,Seven Samurai,44.251,1954-04-26
16,769,GoodFellas,70.393,1990-09-12
17,12477,Grave of the Fireflies,0.05,1988-04-16
18,11216,Cinema Paradiso,50.684,1988-11-17
19,157336,Interstellar,296.74,2014-11-05
20,637,Life Is Beautiful,51.231,1997-12-20
21,550,Fight Club,109.967,1999-10-15
22,667257,Impossible Things,9.417,2021-06-17
23,40096,A Dog's Will,13.235,2000-09-15
24,539,Psycho,47.904,1960-06-22
25,598,City of God,50.203,2002-08-30
26,311,Once Upon a Time in America,43.616,1984-05-23
27,120,The Lord of the Rings: The Fellowship of the Ring,160.735,2001-12-18
28,510,One Flew Over the Cuckoo's Nest,47.842,1975-11-19
29,696374,Gabriel's Inferno,12.757,2020-05-29
30,14537,Harakiri,20.835,1962-09-15
31,823219,Flow,635.112,2024-08-29
32,4935,Howl's Moving Castle,83.854,2004-09-09
33,704264,Primal: Tales of Savagery,9.747,2019-11-21
34,121,The Lord of the Rings: The Two Towers,115.379,2002-12-18
35,324857,Spider-Man: Into the Spider-Verse,86.672,2018-12-06
36,1891,The Empire Strikes Back,42.969,1980-05-20
37,378064,A Silent Voice: The Movie,58.54,2016-09-17
38,724089,Gabriel's Inferno: Part II,8.504,2020-07-31
39,255709,Hope,19.349,2013-10-02
40,1058694,Radical,26.542,2023-10-19
41,423,The Pianist,57.816,2002-09-17
42,244786,Whiplash,72.514,2014-10-10
43,761053,Gabriel's Inferno: Part III,25.482,2020-11-19
44,807,Se7en,110.83,1995-09-22
45,27205,Inception,121.522,2010-07-15
46,1184918,The Wild Robot,557.182,2024-09-12
47,620249,The Legend of Hei,19.762,2019-08-27
48,372754,Dou kyu sei – Classmates,11.853,2016-02-20
49,569094,Spider-Man: Across the Spider-Verse,138.771,2023-05-31
50,820067,The Quintessential Quintuplets Movie,31.123,2022-05-20
51,567,Rear Window,29.723,1954-08-01
52,274,The Silence of the Lambs,17.68,1991-02-14
53,73,American History X,33.54,1998-07-01
54,128,Princess Mononoke,54.88,1997-07-12
55,12493,High and Low,17.346,1963-03-01
56,105,Back to the Future,75.949,1985-07-03
57,15804,A Brighter Summer Day,18.228,1991-07-27
58,644479,Dedicated to my ex,7.423,2019-11-01
59,207,Dead Poets Society,65.3,1989-06-02
60,3782,Ikiru,14.73,1952-10-09
61,101,Léon: The Professional,64.076,1994-09-14
62,10494,Perfect Blue,37.343,1998-02-28
63,1139087,Once Upon a Studio,27.853,2023-09-24
64,914,The Great Dictator,20.736,1940-10-15
65,599,Sunset Boulevard,21.467,1950-08-10
66,92321,Hotarubi no Mori e,0.021,2011-09-17
67,18491,Neon Genesis Evangelion: The End of Evangelion,31.352,1997-07-19
68,335,Once Upon a Time in the West,59.108,1968-12-21
69,568332,Taylor Swift: Reputation Stadium Tour,11.468,2018-12-31
